rank,name,establishment_means
species,Sphacelodes vulneraria,NA
genus,Oscillatoria,NA
species,Daktulosphaira vitifoliae,NA
species,Zaprionus indianus,introduced
species,Cladonia sandstedei,NA
species,Seila adamsii,NA
species,Angelonia salicariifolia,NA
species,Diatraea evanescens,NA
species,Noronhia emarginata,NA
species,Ellipes gurneyi,NA
species,Felimare picta,NA
species,Xanthaciura insecta,NA
species,Glaphyria basiflavalis,NA
species,Stauridium tetras,NA
species,Phoenicobiella chamaeropis,NA
species,Dorymyrmex flavopectus,endemic
species,Phaedropsis stictigramma,NA
species,Viridothelium virens,NA
species,Dichanthelium neuranthum,NA
species,Diolcus irroratus,NA
species,Timulla floridensis,NA
species,Paronychia discoveryi,endemic
species,Pecluma bourgeauana,native
species,Cryptotermes cavifrons,NA
species,Pleroma granulosum,NA
species,Vernia verna,NA
species,Cecrita cubana,NA
species,Heraclides andraemon,NA
species,Epimelissodes aegis,NA
species,Contopus caribaeus,NA
species,Leiocephalus schreibersii,introduced
species,Glaucus atlanticus,NA
species,Leucojum aestivum,introduced
species,Bowlesia incana,NA
species,Apocynum cannabinum,NA
species,Phragmatopoma caudata,NA
species,Microsorum scolopendria,NA
species,Dolomedes tenebrosus,NA
species,Carex lurida,NA
species,Balistes vetula,NA
species,Carcharhinus isodon,NA
species,Russula crustosa,NA
species,Psyllobora vigintimaculata,NA
species,Synchlora aerata,NA
species,Echinometra viridis,NA
species,Bothriocera cognita,NA
species,Phidippus cardinalis,NA
species,Physcomitrium pyriforme,NA
species,Harperocallis flava,endemic
species,Leitneria floridana,NA
species,Hypoxis wrightii,native
species,Indigofera tinctoria,NA
species,Ipomoea carnea,NA
species,Peperomia pellucida,introduced
species,Schizachyrium maritimum,NA
species,Xyris difformis,NA
species,Zoysia matrella,introduced
species,Opistognathus robinsi,NA
species,Russula vinacea,NA
species,Lilaeopsis carolinensis,NA
species,Scleroderma areolatum,NA
species,Monstera adansonii,NA
species,Hyperphyscia adglutinata,NA
species,Hellula rogatalis,NA
species,Amblyomma tuberculatum,NA
species,Calligrapha confluens,NA
species,Dircaea liturata,NA
species,Pyractomena angulata,NA
species,Lysiloma sabicu,NA
species,Udotea flabellum,NA
species,Botrytis cinerea,NA
species,Cereus hildmannianus,introduced
species,Aphis spiraecola,introduced
species,Hypatopa punctiferella,NA
species,Cladonia subcariosa,NA
species,Homaemus proteus,NA
species,Chara zeylanica,NA
species,Epicorsia oedipodalis,NA
species,Conquistator mucronatus,NA
species,Doto curere,NA
species,Diodia harperi,native
species,Aptenopedes appalachee,NA
species,Streblotrichum convolutum,NA
species,Spurilla sargassicola,NA
species,Viola rafinesquei,NA
species,Donacia militaris,NA
species,Osphranter rufus,NA
species,Phasianus colchicus,introduced
species,Brotogeris versicolurus,introduced
species,Neofiber alleni,NA
species,Pachysandra procumbens,NA
species,Fumaria officinalis,introduced
species,Aneura pinguis,NA
species,Fundulus heteroclitus,NA
species,Prococcus acutissimus,NA
species,Microsorum pustulatum,NA
species,Nylanderia fulva,introduced
species,Sphenopholis obtusata,native
species,Pseudothyris sepulchralis,NA
species,Macrognathus siamensis,introduced
species,Solidago caesia,NA
species,Ipomoea coccinea,NA
species,Amphimedon viridis,NA
species,Enoclerus ichneumoneus,NA
species,Calyptranthes zuzygium,NA
species,Carex cherokeensis,NA
species,Carex digitalis,NA
species,Schizocosa avida,NA
species,Anacamptodon splachnoides,NA
species,Asclepias viridiflora,native
species,Cryptostegia madagascariensis,introduced
species,Eleocharis vivipara,native
species,Heliconia bihai,introduced
species,Ipomoea tenuissima,NA
species,Mucuna sloanei,NA
species,Nyssa ursina,endemic
species,Passiflora biflora,introduced
species,Pectis linearifolia,endemic
species,Setaria corrugata,native
species,Setaria palmifolia,introduced
species,Strumpfia maritima,NA
species,Trema lamarckianum,native
genus,Coproporus,NA
species,Ramalina americana,NA
species,Pennaria disticha,NA
species,Halimeda incrassata,NA
species,Cicuta mexicana,native
species,Phillipsia domingensis,NA
species,Trametes pubescens,NA
species,Doryodes bistrialis,NA
species,Idaea scintillularia,NA
species,Leucania adjuta,NA
species,Nectopsyche pavida,NA
species,Ostrinia penitalis,NA
species,Paguristes puncticeps,NA
species,Euschistus quadrator,NA
species,Metylophorus novaescotiae,NA
species,Pilea cadierei,introduced
species,Mithrax hispidus,NA
species,Ascaloptynx appendiculata,NA
species,Opistognathus macrognathus,NA
species,Synchlora xysteraria,NA
genus,Zelia,NA
species,Varneria postremella,NA
species,Phyllocnistis liriodendronella,NA
species,Corticivora parva,NA
species,Argyrotaenia kimballi,NA
species,Elaphria agrotina,NA
species,Sophonia orientalis,introduced
species,Odontocorynus umbellae,NA
species,Micrasterias laticeps,NA
species,Diolcus chrysorrhoeus,NA
species,Heterotis rotundifolia,introduced
species,Aptenopedes clara,NA
species,Trametes betulina,NA
species,Sosippus mimus,NA
species,Helvellosebacina concrescens,NA
species,Botryocladia occidentalis,NA
species,Boletinellus merulioides,NA
species,Meniscium serratum,native
species,Astrothelium aeneum,NA
species,Imleria pallida,NA
species,Pseudanomodon attenuatus,NA
species,Mydas weemsi,NA
species,Protalebra nexa,NA
species,Monotropa brittonii,native
species,Dryocosmus archboldi,NA
species,Dondice jupiteriensis,NA
species,Cliothosa delitrix,NA
species,Crataegus lepida,NA
species,Psilocybe niveotropicalis,NA
species,Sphagnum magniae,NA
species,Geopelia cuneata,introduced
species,Anas rubripes,NA
species,Coscoroba coscoroba,introduced
species,Quiscalus mexicanus,NA
species,Hyla avivoca,NA
species,Ambystoma tigrinum,NA
species,Tragelaphus strepsiceros,NA
species,Sphyraena borealis,NA
species,Castanea mollissima,introduced
species,Chroogomphus vinicolor,NA
species,Amphitecna latifolia,native
species,Bolbitius titubans,NA
species,Galinsoga quadriradiata,introduced
species,Smilax rotundifolia,native
species,Cyperus iria,introduced
species,Nelumbo nucifera,introduced
species,Plectrophenax nivalis,NA
species,Melanolophia canadaria,NA
species,Rhipsalis baccifera,NA
species,Polyhymno luteostrigella,NA
species,Larinioides cornutus,NA
species,Tubifera ferruginosa,NA
species,Pycnanthemum albescens,NA
species,Campyloneurum costatum,native
genus,Micaria,NA
species,Desmodium strictum,NA
species,Gratiola virginiana,NA
species,Hymenocallis duvalensis,NA
species,Lachnocaulon engleri,native
species,Photinia serratifolia,introduced
species,Richardia humistrata,introduced
species,Tripsacum floridanum,native
species,Arenga engleri,introduced
species,Sphecodes heraclei,NA
species,Catocala maestosa,NA
species,Insignorthezia insignis,NA
species,Helicina clappi,NA
species,Idaea ostentaria,NA
species,Melanotus clandestinus,NA
species,Paratrea plebeja,NA
species,Sphenophorus australis,NA
species,Vaxi critica,NA
species,Virbia opella,NA
species,Xylesthia pruniramiella,NA
species,Panopeus herbstii,NA
species,Ochrimnus mimulus,NA
species,Epiphyllum hookeri,introduced
species,Guzmania lingulata,NA
species,Oncidium sphacelatum,NA
species,Rhynchostegium serrulatum,NA
species,Pseudomops septentrionalis,NA
genus,Scatella,NA
species,Liriope spicata,introduced
species,Elysia papillosa,NA
species,Melanocinclis lineigera,NA
species,Chondromorpha xanthotricha,introduced
species,Untomia albistrigella,NA
species,Stenotabanus psammophilus,NA
species,Oxalis hispidula,introduced
species,Sapindus marginatus,NA
species,Echinoderma asperum,NA
species,Inocutis ludoviciana,NA
species,Paguristes karenae,native
species,Phoenicopterus chilensis,introduced
species,Blarina carolinensis,NA
species,Borago officinalis,introduced
species,Callosamia angulifera,NA
species,Clavaria fragilis,NA
species,Marchantia polymorpha,NA
species,Pyracantha coccinea,introduced
species,Heliconius erato,NA
species,Liparis nervosa,native
species,Asplenium serratum,native
species,Laevicaulis alte,introduced
species,Procambarus orcinus,endemic
species,Lutjanus mahogoni,NA
species,Lavandula angustifolia,introduced
species,Hamadryas februa,NA
species,Cuphea ignea,introduced
genus,Drassyllus,NA
species,Cladonia coniocraea,NA
species,Hemarthria altissima,introduced
species,Aristida condensata,native
species,Bauhinia monandra,introduced
species,Boerhavia erecta,native
species,Carex elliottii,NA
species,Frullania eboracensis,native
species,Hura crepitans,NA
species,Euphorbia cordifolia,NA
species,Coelostathma discopunctana,NA
species,Aphrophora saratogensis,NA
species,Bolbocerosoma hamatum,NA
species,Cophes fallax,NA
species,Glaphyria fulminalis,NA
species,Idaea violacearia,NA
species,Neurobathra strigifinitella,NA
species,Scoparia montevidensis,introduced
species,Tampa dimediatella,NA
genus,Euplectrus,NA
species,Beloglottis costaricensis,NA
species,Haminoea antillarum,NA
species,Megachile petulans,NA
species,Gymnothorax saxicola,NA
species,Gymnopus brassicolens,NA
species,Phymanthus crucifer,NA
species,Achroia grisella,NA
species,Streptopalpia minusculalis,NA
species,Cosmarium pseudoconnatum,NA
species,Hemeroblemma opigena,NA
species,Acronicta fallax,NA
species,Spurilla braziliana,NA
species,Dasymutilla nigripes,NA
species,Phanogomphus australis,NA
species,Leptogorgia hebes,NA
species,Minuca pugnax,NA
species,Agonum elongatulum,NA
species,Carmenta texana,NA
species,Megatibicen figuratus,NA
species,Dactylomyia lateralis,NA
species,Diodora listeri,NA
species,Vachellia cornigera,introduced
species,Ponana sparsa,NA
species,Elysia velutinus,NA
species,Fomitiporia dryophila,NA
species,Sigmoidotropis speciosa,NA
species,Bermudella zoobotryon,NA
species,Podiceps nigricollis,NA
species,Dendrocygna viduata,introduced
species,Histrionicus histrionicus,NA
species,Cantharellus cibarius,NA
species,Beta vulgaris,introduced
species,Datura stramonium,introduced
species,Carpobrotus chilensis,introduced
species,Amaranthus retroflexus,NA
species,Albula vulpes,NA
species,Hydrochoerus hydrochaeris,introduced
species,Cryptotomus roseus,NA
species,Elassoma gilberti,NA
species,Phryxus caicus,NA
species,Callistosporium luteo-olivaceum,NA
species,Paulownia tomentosa,introduced
species,Russula compacta,NA
species,Opistognathus aurifrons,NA
species,Encephalartos ferox,NA
species,Amorphophallus paeoniifolius,NA
species,Melanitta deglandi,NA
species,Lagocephalus laevigatus,NA
species,Brunnichia ovata,NA
species,Lycopodiella prostrata,native
species,Rhynchosia parvifolia,NA
species,Spigelia loganioides,endemic
species,Stylisma humistrata,NA
species,Fundulus majalis,NA
species,Butia capitata,introduced
species,Andrena miserabilis,NA
genus,Anabaena,NA
species,Dieffenbachia seguine,NA
species,Sarinda hentzi,NA
species,Pseudolampsis guttata,NA
species,Acronicta vinnula,NA
species,Exitianus exitiosus,NA
species,Marathyssa basalis,NA
species,Metarranthis obfirmaria,NA
species,Uniomerus carolinianus,NA
species,Epitonium albidum,NA
species,Dichanthelium ensifolium,native
species,Hyptis brevipes,introduced
species,Stewartia floridana,NA
species,Cylas formicarius,introduced
species,Vostox brunneipennis,NA
species,Rasahus hamatus,NA
species,Kalanchoe beharensis,introduced
species,Harmonia dimidiata,introduced
species,Xylaria magnoliae,NA
species,Symphylus caribbeanus,NA
species,Acoloithus falsarius,NA
species,Synsepalum dulcificum,NA
species,Coelastrum pulchrum,NA
species,Staurastrum leptocladum,NA
species,Manda nearctica,NA
species,Tellinella listeri,NA
species,Homosassa ella,NA
species,Phyllosticta ampelicida,NA
species,Derobrachus thomasi,NA
species,Mononeuria caroliniana,NA
species,Phyllocnistis hyperpersea,NA
species,Hypocharassus pruinosus,NA
species,Tafalisca eleuthera,NA
species,Oxyops vitiosus,NA
species,Lysmata boggessi,NA
species,Statira dolera,NA
species,Xanthoconium stramineum,NA
species,Zapatella quercusphellos,NA
species,Crataegus michauxii,NA
species,Diaspidiotus liquidambaris,NA
species,Condylostylus quadricolor,NA
species,Azurina multilineata,NA
species,Arrenodes minutus,NA
species,Scopus umbretta,NA
species,Empidonax flaviventris,NA
species,Orcinus orca,NA
species,Eleocharis flavescens,native
species,Hypoxis hirsuta,NA
species,Carcharias taurus,NA
species,Oreochromis mossambicus,introduced
species,Marasmius calhouniae,NA
species,Ceroplastes cirripediformis,NA
species,Cortinarius violaceus,NA
species,Macrorhynchia philippina,NA
species,Toxomerus geminatus,NA
species,Rhomboplites aurorubens,NA
species,Cunninghamia lanceolata,introduced
species,Oenothera fruticosa,native
species,Ludwigia alternifolia,NA
species,Diplectrum bivittatum,NA
species,Liorhyssus hyalinus,NA
species,Sphenarches anisodactylus,NA
species,Dioon spinulosum,NA
species,Candelariella efflorescens,NA
species,Archontophoenix alexandrae,introduced
species,Carex floridana,NA
species,Catopsis nutans,native
species,Heteranthera reniformis,native
species,Ilex krugiana,NA
genus,Neochlamisus,NA
species,Prionotus rubio,NA
species,Hydrocotyle prolifera,NA
species,Inscudderia walkeri,NA
species,Favartia cellulosa,NA
species,Lysiosquilla glabriuscula,NA
species,Pseudopachybrachius basalis,NA
species,Semele bellastriata,NA
species,Petrusa epilepsis,introduced
species,Chionodes pereyra,NA
species,Anthrax aterrimus,NA
species,Neotibicen latifasciatus,NA
species,Chlorotettix necopinus,NA
species,Ensis megistus,NA
species,Haliclona caerulea,NA
species,Aldabrachelys gigantea,NA
species,Chelonoidis niger,NA
species,Coelioxys sayi,NA
species,Branchiomma nigromaculatum,introduced
species,Sinoe kwakae,NA
species,Sacoglottis amazonica,NA
species,Naria turdus,NA
species,Aplos simplex,NA
species,Dorymyrmex bossutus,native
species,Neosteingelia texana,NA
species,Kapala floridana,NA
species,Phylloporia amplectens,NA
species,Dondice juansanchezi,NA
species,Micropterus nigricans,NA
subgenus,Laeticolora,NA
species,Senega leptostachys,NA
species,Protohydnum album,NA
species,Vanellus miles,NA
species,Canis rufus,NA
species,Diceros bicornis,NA
species,Protoreaster nodosus,NA
species,Vinca major,introduced
species,Robinia pseudoacacia,introduced
species,Verbascum thapsus,introduced
species,Agaricus bisporus,NA
species,Sagittaria isoetiformis,native
species,Ludwigia hexapetala,introduced
species,Byssomerulius corium,NA
species,Monarda citriodora,introduced
species,Misgurnus anguillicaudatus,introduced
species,Aplysina insularis,NA
species,Tenebrio molitor,introduced
species,Brochymena quadripustulata,NA
species,Satyrium kingi,NA
species,Eucinostomus melanopterus,NA
species,Lactarius quietus,NA
species,Acalypha alopecuroidea,introduced
species,Arnoglossum sulcatum,NA
species,Glandularia tampensis,endemic
species,Leptodictyum riparium,NA
species,Sabatia dodecandra,NA
genus,Longitarsus,NA
species,Collema subflaccidum,NA
species,Callophrys irus,NA
species,Leptoptilos crumenifer,NA
species,Marsilea minuta,introduced
species,Asplenium dentatum,NA
species,Mactrotoma fragilis,NA
species,Allotria elonympha,NA
species,Copelatus chevrolati,NA
species,Kuschelina thoracica,NA
species,Perigonia lusca,NA
species,Schinia siren,NA
species,Transennella conradina,NA
species,Suturoglypta iontha,NA
species,Paguristes sericeus,NA
species,Echinolittorina tuberculata,NA
species,Coelotanypus tricolor,NA
species,Gnathophyllum americanum,NA
species,Cardiocondyla emeryi,introduced
species,Crematogaster minutissima,native
species,Sirthenea carinata,NA
species,Hoya pubicalyx,NA
species,Chimoptesis gerulae,NA
species,Rhynchostegium confertum,NA
species,Alcantarea imperialis,NA
species,Dasycladus vermicularis,NA
species,Pseudomethoca oculata,NA
species,Oudemansiella furfuracea,NA
species,Castianeira floridana,NA
species,Castianeira crucigera,NA
species,Naphrys xerophila,NA
species,Opuntia keyensis,NA
species,Gyropsylla ilecis,NA
species,Hypolepis barringtonii,endemic
species,Aprostocetus smilax,NA
hybrid,Micropterus nigricans × Micropterus salmoides,NA
species,Lepomis solis,NA
species,Zenaida aurita,NA
species,Rissa tridactyla,NA
species,Trachemys venusta,NA
species,Graminorthezia tillandsiae,NA
species,Bidens pilosa,NA
species,Phyllotopsis nidulans,NA
species,Percnon gibbesi,NA
species,Calostoma cinnabarinum,NA
species,Opuntia microdasys,introduced
species,Heliconius sara,NA
species,Eleotris amblyopsis,NA
species,Enallagma pallidum,NA
species,Etheostoma colorosum,NA
species,Orgyia definita,NA
species,Dianella tasmanica,NA
species,Lespedeza capitata,NA
species,Clavulina cinerea,NA
species,Pilea peperomioides,introduced
species,Etlingera elatior,introduced
species,Hogna antelucana,NA
species,Pelargonium graveolens,NA
species,Iotrochota birotulata,NA
species,Symphyotrichum pilosum,NA
species,Orthonama obstipata,NA
species,Galium pilosum,native
species,Aphis craccivora,NA
species,Trichostigma octandrum,native
species,Cardiospermum microcarpum,native
species,Carex baltzellii,native
species,Dicranum condensatum,NA
species,Digitaria eriantha,NA
species,Juncus coriaceus,native
species,Ribes echinellum,NA
species,Yeatesia viridiflora,NA
species,Enicospilus purgatus,NA
species,Parancistrocerus perennis,NA
species,Amblyscirtes alternata,NA
species,Axion tripustulatum,NA
species,Glaphyria glaphyralis,NA
species,Misogada unicolor,NA
species,Ulolonche culea,NA
species,Zomaria interruptolineana,NA
species,Tonna galea,NA
species,Hedriodiscus vertebratus,NA
species,Theridula gonygaster,NA
species,Omorgus suberosus,NA
species,Mesadenus lucayanus,native
species,Chrysis conica,NA
species,Echmepteryx madagascariensis,NA
species,Amanita elongata,NA
species,Terastia meticulosalis,NA
species,Pentacora sphacelata,NA
species,Nipaecoccus nipae,NA
species,Osmoxylon lineare,NA
species,Euonymus japonicus,introduced
species,Hammaptera parinotata,NA
species,Toxonotus cornutus,NA
species,Nasturtium floridanum,endemic
species,Lanelater sallei,NA
species,Fissicrambus profanellus,NA
species,Phylloxera caryaeglobuli,NA
species,Brachynemurus longicaudus,NA
species,Triplax festiva,NA
species,Melissodes comptoides,NA
species,Felimare ruthae,NA
species,Chironomus crassicaudatus,NA
species,Colonus puerperus,NA
species,Blastobasis tarda,NA
species,Boreothrinax maculipennis,NA
species,Auricularia nigricans,NA
species,Nemoria catachloa,NA
species,Gondysia similis,NA
species,Cyrpoptus belfragei,NA
species,Dicerandra fumella,NA
species,Apenes parallela,NA
species,Plectoptera poeyi,NA
species,Tagetes patula,introduced
species,Pluteus chrysaegis,NA
species,Sida planicaulis,NA
species,Nemomydas melanopogon,NA
hybrid,Citrus × taitensis,NA
species,Sigela lynx,NA
species,Anaxipha imitator,NA
species,Collybiopsis subnuda,NA
species,Salvia polystachia,NA
species,Eichlinia cucurbitae,NA
species,Ptychogaster albus,NA
species,Phalacrocorax carbo,NA
species,Ciconia abdimii,NA
species,Nettapus auritus,NA
species,Euphagus cyanocephalus,NA
species,Ara militaris,introduced
species,Kobus ellipsiprymnus,introduced
species,Fistularia tabacaria,NA
species,Coprinus comatus,NA
species,Trichiurus lepturus,NA
species,Enterolobium cyclocarpum,NA
species,Hygrocybe flavescens,NA
species,Vanilla planifolia,introduced
species,Cotesia glomerata,NA
species,Tribulus terrestris,introduced
species,Ludwigia grandiflora,introduced
species,Maytenus boaria,introduced
species,Viburnum dentatum,NA
species,Fannia canicularis,NA
species,Oreta rosea,NA
species,Dichanthelium acuminatum,NA
species,Colobochyla interpuncta,NA
species,Archytas apicifer,NA
species,Streptocephalus sealii,NA
species,Prepona laertes,introduced
species,Dolomedes vittatus,NA
species,Brugmansia suaveolens,introduced
species,Crataegus aestivalis,NA
species,Dichanthelium leucothrix,NA
species,Eleocharis equisetoides,NA
species,Evolvulus grisebachii,native
species,Galactia microphylla,NA
species,Hyophila involuta,NA
species,Iris brevicaulis,native
species,Leucodon julaceus,NA
species,Maxillaria crassifolia,NA
species,Sansevieria cylindrica,introduced
species,Xyris laxifolia,NA
hybrid,Ilex × attenuata,NA
species,Agaricus placomyces,NA
species,Hebeloma crustuliniforme,NA
species,Selasphorus calliope,NA
species,Dichomeris punctipennella,NA
species,Digrammia continuata,NA
species,Elaphria festivoides,NA
species,Herpetogramma theseusalis,NA
species,Kuschelina gibbitarsa,NA
species,Lampsilis floridensis,NA
species,Lilium longiflorum,introduced
species,Neocataclysta magnificalis,NA
species,Spodoptera exigua,introduced
species,Stenolophus ochropezus,NA
species,Lagocheirus araneiformis,NA
species,Anthidiellum notatum,NA
species,Echinolittorina angustior,NA
species,Stylifera gigantea,NA
species,Oebalus insularis,NA
species,Strumigenys louisianae,native
species,Alpinia nutans,NA
species,Sigela brauneata,NA
species,Mustela furo,introduced
species,Oxycopis thoracica,NA
species,Ancylocera bicolor,NA
species,Karenia brevis,NA
species,Niesthrea louisianica,NA
species,Fibroporia radiculosa,NA
species,Chrysomela interrupta,NA
species,Sisyrinchium pruinosum,NA
species,Murgantia violascens,NA
species,Penthesilea difficilis,NA
species,Ehretia acuminata,NA
species,Coleophora xyridella,NA
species,Anchastus binus,NA
species,Mareca penelope,NA
species,Condylostylus crinitus,NA
species,Manomera tenuescens,NA
species,Elateropsis scabrosus,NA
species,Calycomyza ipomaeae,NA
species,Liatris elegantula,NA
species,Neuroterus quercusverrucarum,NA
species,Omophoita albicollis,NA
hybrid,Aloe × commutata,NA
species,Lacon mexicanus,NA
species,Jacquinia arborea,NA
species,Cyrtoxipha gundlachi,native
species,Vaxi tripsacas,NA
species,Pelazoneuron augescens,native
species,Anastrepha curvicauda,NA
species,Aspila packardi,NA
species,Larus glaucoides,NA
species,Netta peposaca,introduced
species,Icterus parisorum,NA
species,Asio flammeus,NA
species,Lycaon pictus,NA
species,Selar crumenophthalmus,NA
species,Chlorophyllum rhacodes,introduced
species,Entylia carinata,NA
species,Lygus lineolaris,NA
species,Ageratina altissima,NA
species,Phosphila turbulenta,NA
species,Carex bromoides,NA
species,Thaspium trifoliatum,NA
species,Strangalia luteicornis,NA
species,Holothuria floridana,NA
species,Asplenium resiliens,native
species,Vernonia noveboracensis,NA
species,Lineodes integra,NA
species,Eulithis diversilineata,NA
species,Persicaria virginiana,NA
species,Stachybotrys chartarum,NA
species,Astragalus villosus,NA
species,Campyloneurum angustifolium,native
species,Catesbaea parviflora,native
species,Dalea carthagenensis,native
species,Graptophyllum pictum,introduced
species,Jasminum nitidum,introduced
species,Kalanchoe daigremontiana,introduced
species,Orbexilum virgatum,NA
species,Pseudosasa japonica,introduced
species,Rhynchospora filifolia,NA
species,Syrrhopodon incompletus,NA
genus,Homaeotarsus,NA
species,Cyptotrama asprata,NA
species,Oncideres cingulata,NA
species,Eupleura caudata,NA
species,Lasioglossum pectorale,NA
species,Clivia miniata,NA
species,Dicerca obscura,NA
species,Geotrupes egeriei,NA
species,Hemitrochus varians,NA
species,Heros severus,introduced
species,Megathymus cofaqui,NA
species,Sassacus vitis,NA
species,Sitophilus oryzae,NA
species,Tabanus sulcifrons,NA
species,Usnea dimorpha,NA
species,Smaragdia viridis,NA
species,Xenophora conchyliophora,NA
species,Paradentalium americanum,NA
species,Stachytarpheta frantzii,NA
species,Solanum wrightii,NA
species,Heraeus plebejus,NA
species,Megachile inimica,NA
species,Coccus viridis,NA
genus,Exorista,NA
species,Barbatia candida,NA
species,Carpentaria acuminata,introduced
species,Perkinsiella saccharicida,introduced
species,Haematomma persoonii,NA
species,Stelis gelida,native
species,Phrudocentra centrifugaria,NA
species,Pholiota polychroa,NA
species,Ruellia squarrosa,NA
species,Orius insidiosus,NA
genus,Tetartopeus,NA
species,Amanita canescens,NA
species,Lentinula raphanica,NA
species,Geonemertes pelaensis,NA
species,Osbornellus clarus,NA
species,Anser rossii,NA
species,Batrachedra busiris,NA
species,Gymnura lessae,NA
species,Collinsonia anisata,NA
species,Phytomyza vomitoriae,NA
species,Belocephalus sabalis,NA
species,Erioptera tantilla,NA
genus,Quatiella,NA
species,Goeppertia makoyana,NA
hybrid,Gaillardia × grandiflora,introduced
species,Anthenantia rufa,NA
species,Norape cretata,NA
species,Druon pattoni,NA
species,Sideroxylon rufohirtum,NA
species,Ophiodothella fici,NA
species,Staphylus floridus,NA
species,Calidris bairdii,NA
species,Icterus bullockii,NA
species,Empidonomus varius,NA
species,Agapornis roseicollis,introduced
species,Antilope cervicapra,introduced
species,Rhinoceros unicornis,NA
species,Pan troglodytes,NA
species,Salsola kali,introduced
species,Veronica peregrina,NA
species,Aristolochia tomentosa,NA
species,Monomorium pharaonis,introduced
species,Echinochloa muricata,native
species,Erucastrum gallicum,introduced
species,Rivula propinqualis,NA
species,Astatotilapia calliptera,introduced
species,Callionymus bairdi,NA
species,Procambarus versutus,NA
species,Cladonia macilenta,NA
species,Hydnellum aurantiacum,NA
species,Stillingia sylvatica,NA
species,Cyclograpsus integer,NA
species,Deeringothamnus pulchellus,endemic
species,Merinus laevis,NA
species,Lacrymaria lacrymabunda,NA
species,Nageia nagi,NA
species,Catopsis floribunda,native
species,Chrysopsis latisquamea,endemic
species,Heteropogon melanocarpus,native
species,Liatris squarrosa,native
species,Phlox floridana,NA
species,Rhynchosia difformis,NA
species,Rosa bracteata,introduced
species,Eucinostomus argenteus,NA
species,Bucculatrix coronatella,NA
species,Canthon viridis,NA
species,Condica confederata,NA
species,Condica vecors,NA
species,Hypena manalis,NA
species,Ips calligraphus,NA
species,Lithospermum caroliniense,NA
species,Pinna carnea,NA
species,Ponana puncticollis,NA
species,Ramalina peruviana,NA
species,Chama florida,NA
species,Hastula hastata,NA
species,Megabalanus coccopoma,NA
species,Neochetina eichhorniae,NA
species,Ceraeochrysa claveri,NA
species,Ucides cordatus,NA
species,Anoplius americanus,NA
species,Desmia ploralis,NA
species,Ixora casei,introduced
species,Pachira glabra,NA
species,Diatrype stigma,NA
species,Choristoneura obsoletana,NA
species,Aristotelia corallina,NA
species,Crepidula depressa,NA
species,Mea bipunctella,NA
species,Hellinsia balanotes,NA
species,Leptosteges flavifascialis,NA
species,Tetragonoderus intersectus,NA
species,Cycloptilum trigonipalpum,NA
species,Paranthus rapiformis,NA
species,Anthracophyllum lateritium,NA
species,Dioscorea dodecaneura,NA
hybrid,Morone chrysops × saxatilis,introduced
species,Townsendia arenicola,NA
species,Phallus rugulosus,NA
species,Cryptocephalus obsoletus,NA
species,Umimayanthus parasiticus,NA
species,Pseudochama cristella,NA
species,Coryphellina marcusorum,NA
species,Pteromeris perplana,NA
species,Oxycopis floridana,NA
species,Ancylopsetta quadrocellata,NA
species,Photuris congener,NA
species,Metamasius sericeus,NA
species,Platnickina adamsoni,NA
species,Alpheus packardii,NA
species,Collybia sordida,NA
species,Fulguropsis keysensis,NA
species,Vireo flavoviridis,NA
species,Leiolepis belliana,introduced
species,Equus grevyi,NA
species,Colobus angolensis,NA
species,Selene setapinnis,NA
species,Elysia ornata,NA
species,Linum usitatissimum,introduced
species,Prunella vulgaris,NA
species,Coprinellus micaceus,NA
species,Laphystia ochreifrons,NA
species,Nymphoides cordata,NA
genus,Gemmabryum,NA
species,Capsicum chinense,introduced
species,Juncus tenuis,NA
species,Arenaria serpyllifolia,introduced
species,Lobelia erinus,introduced
species,Thalictrum thalictroides,NA
species,Andropogon gerardi,NA
species,Russula aeruginea,NA
species,Vigna unguiculata,introduced
species,Iris hexagona,native
species,Penicillus dumetosus,NA
species,Eupatorium hyssopifolium,NA
species,Plagiomnium cuspidatum,NA
species,Asclepias rubra,NA
species,Fagopyrum esculentum,introduced
genus,Anyphaena,NA
species,Tetragnatha extensa,NA
species,Marpissa pikei,NA
species,Aglaonema commutatum,introduced
species,Baptisia calycosa,endemic
species,Callaeum macropterum,NA
species,Coreopsis integrifolia,native
species,Cornus asperifolia,native
species,Dichanthelium boscii,NA
species,Lejeunea cavifolia,NA
species,Physalis cordata,native
species,Polymnia laevigata,NA
species,Polyscias guilfoylei,NA
species,Sesbania virgata,NA
species,Sorghastrum elliottii,NA
species,Neoclytus mucronatus,NA
species,Aratinga solstitialis,introduced
species,Lepyronia quadrangularis,NA
species,Lysimachia minima,native
species,Cenopis reticulatana,NA
species,Casimiroa edulis,NA
species,Agonum punctiforme,NA
species,Arugisa lutea,NA
species,Cryptocephalus guttulatus,NA
species,Harrisimemna trisignata,NA
species,Hypenodes fractilinea,NA
species,Ips grandicollis,NA
species,Loxostegopsis merrickalis,NA
species,Nystalea eutalanta,NA
species,Omophron labiatum,NA
species,Oryzaephilus surinamensis,NA
species,Panthea furcilla,NA
species,Properigea tapeta,NA
species,Redectis vitrea,NA
genus,Netelia,NA
species,Ervilia nitens,NA
species,Platynota stultana,NA
